技能ID,名稱,技能類型,需求tpye,needDices,數值,條件文字,效果文字,SelfBuffs,TargetBuffs,Combo,生成骰子,出處Tag,Price
101,衝撞,Attack,DiceSum,7,10,5⬆,造成10點傷害,,,,,,
102,瘋狂亂啄,Attack,DiceSum,12,10,10⬆,造成10點傷害，再骰一次判定,,,1,,,
103,重擊,Attack,DiceSum,16,30,,造成30點傷害,,,,,,
104,火球術,Attack,DiceSum,18,40,,40點傷害，敵方燃燒2回合,,18:0:2,,,,
105,水彈,Attack,DiceSum,14,20,,造成20點傷害，敵方魔力衰弱1回合,,6:0:1,,,,
106,咕咕嘎嘎,DeBuff,DiceSum,9,,,攻擊弱化,,8:0:1,,,,
107,不乾淨小手,Attack,DiceSum,12,10,,10點傷害，敵方中毒3回合,,1:0:3,,,,
108,電球,Attack,DiceSum,18,40,,40點傷害，敵方麻痺2回合,,20:0:2,,,,
109,魔力湧動,Buff,DiceSum,12,,,魔力增幅3回合,5:0:3,,,,,
110,魔力爪,Attack,DiceSum,12,20,,20點傷害，敵方撕裂1回合,,2:0:1,,,,
111,重踏,Attack,DiceSum,20,60,,造成60點傷害,,,,,,
112,毒刺,Attack,DiceSum,20,50,,50點傷害，敵方中毒3回合,,1:0:3,,,,
113,毒爆術,Attack,DiceSum,20,20,,消耗敵方中毒\n造成20點傷害×敵方中毒回合,,,,,,
114,獵殺標記,Attack,DiceSum,24,60,,造成60點傷害，連擊2回合,22:1:0,,,,,
115,螺旋鑽,Attack,DiceSum,18,30,,造成30點傷害，撕裂三回合,,2:0:3,,,,
116,弱點破壞,Attack,DiceSum,28,60,,造成60點傷害，如果敵方撕裂則造成120點傷害,,,,,,
117,魔力彈,Attack,DiceSum,12,30,,30點傷害,,,,,,
118,防禦魔法,Buff,DiceSum,16,,,魔力護盾3回合,9:0:3,,,,,
119,荊棘護甲,Buff,DiceSum,12,,,尖刺3回合,16:0:3,,,,,
120,黑炎,Attack,DiceSum,20,60,,60點傷害，敵方燃燒1回合,,18:0:1,,,,
121,力量增幅,Buff,DiceSum,12,,,攻擊強化3回合,7:0:3,,,,,
122,劍舞,Attack,DiceSum,20,40,,40點傷害，再骰一次判定,,,1,,,
123,腐化詛咒,DeBuff,DiceSum,12,,,敵方中毒5回合,,1:0:5,,,,
124,連續刺擊,Attack,DiceSum,15,20,,20點傷害，再骰一次判定,,,1,,,
125,淤泥炮,Attack,DiceSum,15,30,,30點傷害，敵方中毒5回合,,1:0:5,,,,
126,回春術,Buff,DiceSum,12,,,治癒3回合,11:0:3,,,,,
127,詛咒,DeBuff,DiceSum,12,,,敵方魔力衰弱、攻擊弱化1回合,,6:0:1|8:0:1,,,,
128,吞噬,Attack,DiceSum,28,50,,造成50點傷害，奪取對方所有Buff,,,,,,
129,雷槍,Attack,DiceSum,32,100,,造成100點傷害，敵方麻痺3回合,,20:0:3,,,,
130,極巨化,Buff,DiceSum,24,,,攻擊強化+巨人化5回合,,,,,,
131,星火暴斬,Attack,DiceSum,30,160,,160點傷害 敵方暈眩1回合,,3:0:1,,,,
132,催眠術,DeBuff,DiceSum,20,,,敵方睡眠,,4:0:0,,,,
133,大力三巴掌,Attack,DiceSum,24,80,,造成80點傷害 敵方暈眩1回合,,3:0:1,,,,
134,魔法衝擊,Attack,DiceSum,22,50,,50點傷害,,,,,,
135,裁決之刃,Attack,DiceSum,27,120,,120點傷害,,,,,,
136,不屈之心,Buff,DiceSum,24,,,魔力護盾 (大) 1回合，攻擊強化3回合,10:0:1|7:0:3,,,,,
